代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
123086.SZ,海兰转债,111.3,-0.0071,13531200,15073802,0.0185566128092632,海兰信,11.43,-0.0197,10.88,105.0551,0.0594,86.7625,1.9596,0.2114,24.58,INF,118,INF,5.4575,20261211,729184800,AA-,AA-,偏股型,117.24
123087.SZ,明电转债,110.824,-0.0095,27587800,30660653,0.0409936865579913,明阳电路,16.85,-0.0415,16.32,103.2475,0.0734,85.1681,1.6843,0.2129,25.698,INF,115,INF,5.4685,20261215,672976800,AA-,AA-,偏股型,118.164
123088.SZ,威唐转债,101.6,-0.0039,6597500,6732111,0.0219003858584088,威唐工业,16.15,-0.0265,20.72,77.944,0.3035,76.6592,3.4188,0.0172,24.974,INF,115,INF,5.4685,20261215,301250400,A+,A+,平衡型,131.95
123089.SZ,九洲转2,118.851,-0.0153,32860300,39096255,0.0657206,九洲集团,9.45,-0.0258,8,118.125,0.0061,84.8921,0.3334,0.3922,34,INF,115,INF,5.4849,20261221,500000000,AA-,AA-,偏股型,119.461
123090.SZ,三诺转债,120.3,0.0025,13374400,16305362,0.0267488,三诺生物,31.61,0.0118,35.15,89.9289,0.3377,91.8582,-0.4985,-0.0206,28.483,INF,112,INF,5.4849,20261221,500000000,AA,AA,平衡型,154.07
123091.SZ,长海转债,120.79,0.0074,11576000,13999940,0.0210472727272727,长海股份,16.29,0.0105,16.14,100.9294,0.1968,91.1504,-0.7154,0.1078,29.68,INF,111,INF,5.4904,20261223,550000000,AA,AA,平衡型,140.47
123092.SZ,天壕转债,109.9,-0.0059,3009500,3315202,0.00711465721040189,天壕环境,5.16,-0.0134,5.2,99.2308,0.1075,76.4964,1.9008,0.2978,33.437,INF,115,INF,5.4932,20261224,423000000,A+,A+,偏股型,120.65
123093.SZ,金陵转债,120.495,-0.0133,14740000,17873547,0.05896,金陵体育,42.19,-0.0009,49.19,85.7695,0.4049,81.0249,1.311,0.059,39.504,INF,120,INF,5.5644,20270119,250000000,A+,A+,平衡型,160.985
123094.SZ,星源转2,166.881,0.027,179849300,301901414,0.1798493,星源材质,53.88,0.0261,31.53,170.8849,-0.0234,91.6354,-6.2334,0.8655,75.28,INF,112,INF,5.5671,20270120,1000000000,AA-,AA,偏股型,164.541
123096.SZ,思创转债,106.357,-0.0039,1306800,1394856,0.00159951040391677,思创医惠,7.07,-0.0181,8.27,85.4897,0.2441,86.3527,2.8399,-0.0096,20.04,INF,118,INF,5.5836,20270126,817000000,AA-,AA-,平衡型,130.767
123097.SZ,美力转债,113.566,-0.022,9358000,10720112,0.0311933333333333,美力科技,10.02,-0.052,9.34,107.2805,0.0586,75.8264,1.2581,0.4154,37.771,INF,115,INF,5.5863,20270127,300000000,A+,A+,偏股型,119.426
123098.SZ,一品转债,126.1,0.0064,12114200,15322893,0.0252379166666667,一品红,27.19,0.0115,25.45,106.8369,0.1803,86.3215,-0.3054,0.2382,39.814,INF,118,INF,5.589,20270128,480000000,AA-,AA-,偏股型,144.13
123099.SZ,普利转债,128.105,0.0126,19518400,25298027,0.0229628235294118,普利制药,52.87,0.048,46.22,114.3877,0.1199,85.765,-0.6601,0.3343,42.376,INF,118,INF,5.6219,20270209,850000000,AA-,AA-,偏股型,140.095
123100.SZ,朗科转债,124.91,0.0033,13696600,17145774,0.0360436842105263,朗科智能,14,0.0145,11.61,120.5857,0.0359,81.6309,-1.1011,0.4778,43.313,INF,112,INF,5.6219,20270209,380000000,AA-,AA-,偏股型,128.5
123101.SZ,拓斯转债,108.302,-0.0092,6963500,7532055,0.0103932835820896,拓斯达,33.93,0.0006,42.25,80.3077,0.3486,89.2696,1.0916,-0.1001,19.058,INF,110,INF,5.7014,20270310,670000000,AA,AA,平衡型,143.162
