代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
123063.SZ,大禹转债,113.844,-0.004,71014700,81084335,0.11184793,大禹节水,5.26,-0.0187,4.83,108.9027,0.0454,91.3762,2.1412,0.1925,22.518,inf,120,inf,5.0849,20260728,634921900,AA-,AA-,平衡型,118.384,0.245882407,197,88,285,197,,
110043.SH,无锡转债,115.05,0.0087,114149000,131163159,0.039073697,无锡银行,5.88,0.0191,5.79,101.5544,0.1329,99.1302,-2.3251,0.025,15.976,inf,106,inf,2.5945,20240130,2921377000,AA+,AA+,平衡型,128.34,0.160594854,124,162,286,124,,
113578.SH,全筑转债,101.5,-0.0063,9720000,9914441,0.025317049,全筑股份,4.43,0.0068,5.4,82.037,0.2372,95.6467,3.2178,-0.1421,5.878,inf,113,inf,4.8137,20260420,383931000,AA,AA,平衡型,125.22,0.061197093,59,231,290,59,,
128087.SZ,孚日转债,103.34,0.0023,12036800,12449507,0.018524598,孚日股份,4.3,-0.0046,4.5,95.5556,0.0815,84.9078,2.0374,0.1255,18.439,inf,108,inf,4.474,20251217,649773900,AA-,AA-,平衡型,111.49,0.217084885,176,115,291,176,,
128090.SZ,汽模转2,110.242,-0.0035,8187000,9041915,0.026374319,天汽模,4.1,-0.0073,4.21,97.3872,0.132,94.6297,0.9413,0.0291,15.612,inf,110,inf,4.5014,20251227,310415600,AA-,AA,平衡型,123.442,0.164983087,131,161,292,131,,
123007.SZ,道氏转债,131.9,0.0336,729241700,963782703,2.399925031,道氏技术,19.15,0.0557,14.5,132.069,-0.0013,95.1558,-6.9888,0.3874,36.71,inf,107,100.407,2.5041,20231228,303860200,AA-,AA-,偏股型,131.77,0.38614777,274,19,293,274,,
123004.SZ,铁汉转债,103.811,0.002,15465700,16064091,0.019255649,节能铁汉,3.14,-0.0126,3.82,82.199,0.2629,99.2142,1.9392,-0.1714,4.605,inf,106,inf,2.4767,20231218,803177300,AA,AA,平衡型,130.101,0.046332077,50,243,293,50,,
110060.SH,天路转债,109.95,-0.0005,4296000,4718085,0.006081532,西藏天路,6.86,0.0015,7.16,95.8101,0.1476,95.5052,1.0409,0.0035,14.473,inf,110,inf,4.337,20251028,706401000,AA,AA,平衡型,124.71,0.151246215,119,174,293,119,,
110034.SH,九州转债,108.87,-0.001,11241000,12234851,0.007498154,九州通,15,-0.0053,17.83,84.1279,0.2941,106.2882,-1.4298,-0.2084,2.599,inf,108,103,0.5534,20220115,1499169000,AA+,AA+,偏债型,138.28,0.024290561,36,257.5,293.5,36,,
113568.SH,新春转债,112.91,-0.0036,12658000,14242995,0.038366993,五洲新春,9.16,0.0122,8.75,104.6857,0.0786,92.1991,2.1162,0.1357,20.733,inf,118,inf,4.6904,20260306,329919000,AA-,AA-,平衡型,120.77,0.224632345,181,113,294,181,,
128032.SZ,双环转债,140.7,0.0659,422873400,591889294,0.620825916,双环传动,14,0.0712,9.87,141.844,-0.0081,99.6245,-9.7532,0.4239,41.084,inf,106,inf,2.4959,20231225,681146500,AA,AA,偏股型,139.89,0.412303199,286,8,294,286,,
128042.SZ,凯中转债,106.804,-0.006,2485400,2660197,0.005980179,凯中精密,10.64,0,12.86,82.7372,0.2909,103.1611,2.8541,-0.1972,3.748,inf,112,inf,3.0904,20240730,415606300,AA,AA,平衡型,135.894,0.035312729,42,254,296,42,,
128066.SZ,亚泰转债,104.005,0.0041,6999100,7279442,0.01458837,郑中设计,8.25,0.0123,9.27,88.9968,0.1686,92.2045,3.1317,-0.0337,11.909,inf,112,100.366,3.8055,20250417,479772600,AA-,AA-,平衡型,120.865,0.127981823,99,197,296,99,,
110068.SH,龙净转债,101.42,0.0003,17203000,17454148,0.008602115,龙净环保,8.68,-0.0023,10.73,80.8947,0.2537,96.0112,2.6967,-0.1567,5.494,inf,110,inf,4.7397,20260324,1999857000,AA+,AA+,平衡型,126.79,0.056335094,55,241,296,55,,
113508.SH,新凤转债,128.52,0.0107,75264000,96874846,0.036411082,新凤鸣,19.43,0.028,15.65,124.1534,0.0352,99.916,-5.0181,0.2433,28.662,inf,108,inf,2.8301,20270408,2067063000,AA,AA,偏股型,132.04,0.286280476,221,77,298,221,,
113044.SH,大秦转债,103.3,0.001,163579000,168723705,0.005111917,大秦铁路,6.58,0.0077,7.66,85.9008,0.2026,93.4358,1.8719,-0.0795,9.981,inf,108,inf,5.4658,20261214,31999538600,AAA,AAA,平衡型,123.56,0.105571954,87,212,299,87,,
128074.SZ,游族转债,118.447,0.0021,81364600,96040771,0.119177743,游族网络,17.97,-0.0175,16.97,105.8928,0.1186,100.1948,0.2934,0.0586,18.418,inf,115,inf,4.2411,20250923,682716400,AA,AA,平衡型,130.307,0.182167138,144,156,300,144,,
132016.SH,19东创EB,101.5,0,0,0,0,华安证券,5.71,0.0196,7.28,78.4341,0.2989,99.087,-0.4944,-0.2082,2.819,inf,inf,inf,0.7452,0,150000000,AA,AA,偏债型,131.39,0.024352337,37,263,300,37,,
113048.SH,晶科转债,109.63,-0.0002,36108000,39686546,0.012036,晶科科技,5.48,-0.0144,5.48,100,0.0963,90.241,1.1572,0.1084,19.408,inf,112,inf,5.8219,20270423,3000000000,AA,AA,平衡型,119.26,0.214857991,173,129,302,173,,
113516.SH,苏农转债,105.1,0.0006,57730000,60648887,0.044800211,苏农银行,4.34,0.0117,5.37,80.8194,0.3004,102.5474,2.8045,-0.2112,2.647,inf,110,inf,3.0986,20240802,1288610000,AA+,AA+,偏债型,135.14,0.024891904,38,265,303,38,,
113011.SH,光大转债,117,0.0042,82383000,96444190,0.003404413,光大银行,3.81,0.0053,3.76,101.3298,0.1546,101.2774,-5.1957,0.0009,15.759,inf,105,inf,1.7205,20230317,24198888000,AAA,AAA,平衡型,132.46,0.155242927,121,183,304,121,,
113039.SH,嘉泽转债,117.17,-0.0217,199379000,235103012,0.361976155,嘉泽新能,3.91,-0.0298,3.46,113.0058,0.0368,90.2429,-0.6955,0.2529,26.974,inf,108,inf,5.1589,20260824,550807000,AA,AA,偏股型,120.85,0.298384693,228,79,307,228,,
