secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128032.XSHE,128032,双环转债,002472,双环传动,2020-01-03,10.0,9.998406,103.0,9.93,5.62,7.306,0.006843000000000001,0.037783,81.9911,94.18363199999999,9.360828999999999,94.90830151014148,1.0852580686948008,0.7246695101414963,2.9753424657534246,0.3430472401871206,9.93,2022-12-24
110043.XSHG,110043,无锡转债,600908,无锡银行,2020-01-03,30.0,29.990361,110.82,6.52,5.55,7.215,-0.007878,0.037446,30.1885,94.69840699999999,17.024143,96.11780881885863,1.152960115943225,1.4194018188586448,3.073972602739726,0.26973013365213755,6.52,2023-01-29
110034.XSHG,110034,九州转债,600998,九州通,2020-01-03,15.0,14.992864,108.69,18.32,14.01,18.213,-0.001928,0.006389,42.1271,103.629701,4.883058,104.1140833847307,1.043950985942603,0.4843823847307085,1.0328767123287672,0.24333118862981787,18.32,2021-01-14
123010.XSHE,123010,博世转债,300422,博世科,2020-01-03,4.3,4.2972529999999995,105.825,12.38,10.59,13.767000000000001,0.000132,0.024801,23.7123,94.35642,12.154530000000001,97.6626816782823,1.0835766352249654,3.306261678282299,3.5013698630136987,0.3573474278066095,12.38,2023-07-04
128051.XSHE,128051,光华转债,002741,光华科技,2020-01-03,2.4930000000000003,2.492073,113.3,12.72,12.53,16.289,-0.0030800000000000003,0.012059,15.017999999999999,95.012867,19.247006,100.69527688149982,1.1251769051028446,5.6824098814998285,3.9452054794520546,0.3822569534226945,12.72,2023-12-13
128026.XSHE,128026,众兴转债,002772,众兴菌业,2020-01-03,9.2,9.19507,93.501,11.54,7.28,9.464,0.0033049999999999998,0.010636,48.2144,94.308672,-0.8564129999999999,95.66536527921062,0.9773756649243573,1.3566932792106141,2.9424657534246577,0.36554205361353426,11.54,2022-12-12
113532.XSHG,113532,海环转债,603817,海峡环保,2020-01-03,4.6,4.59972,107.05,7.75,6.58,8.554,0.0043159999999999995,0.009239,26.0847,91.960404,16.408797,94.57279839251987,1.1319322449960092,2.612394392519871,4.2465753424657535,0.3787360769718142,7.75,2024-04-01
110058.XSHG,110058,永鼎转债,600105,永鼎股份,2020-01-03,9.8,9.797682,107.89,5.1,4.72,6.136,0.008318,0.045344,16.576,93.817954,14.999310000000001,95.8812626501791,1.1252459241555313,2.0633086501791014,4.284931506849315,0.5115677770931237,5.1,2024-04-15
128042.XSHE,128042,凯中转债,002823,凯中精密,2020-01-03,4.16,4.158786,104.6,13.01,9.47,12.311,0.005769,0.036619,43.7007,98.095125,6.631191,100.81995712131338,1.0374930022449644,2.724832121313381,3.56986301369863,0.34760477994411987,13.01,2023-07-29
113021.XSHG,113021,中信转债,601998,中信银行,2020-01-03,400.0,399.99894,114.31,7.22,6.2,8.06,-0.000175,0.020352000000000002,33.1158,100.40191300000001,13.852413,102.2671804374204,1.1177584002127534,1.8652674374203875,4.167123287671233,0.21111310229353367,7.22,2024-03-03
